cellId	taskId	executor	launchTime	duration	size	records	appId	stageId
48	50411	mr-07:10	2021/05/06 21:47:11	7	0	0	application_1615435002078_0444	10
37	50400	mr-07:10	2021/05/06 21:47:11	7	0	0	application_1615435002078_0444	10
70	50433	mr-07:10	2021/05/06 21:47:11	7	0	0	application_1615435002078_0444	10
92	50455	mr-07:10	2021/05/06 21:47:11	7	0	0	application_1615435002078_0444	10
33	50398	mr-06:3	2021/05/06 21:47:11	7	0	0	application_1615435002078_0444	10
22	50387	mr-06:3	2021/05/06 21:47:11	7	0	0	application_1615435002078_0444	10
55	50420	mr-06:3	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
44	50409	mr-06:3	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
66	50431	mr-06:3	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
88	50453	mr-06:3	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
77	50442	mr-06:3	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
19	50383	mr-02:2	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
41	50405	mr-02:2	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
52	50416	mr-02:2	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
30	50394	mr-02:2	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
7	50366	mr-01:6	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
74	50438	mr-02:2	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
18	50377	mr-01:6	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
85	50449	mr-02:2	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
63	50427	mr-02:2	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
29	50388	mr-01:6	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
51	50410	mr-01:6	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
17	50374	mr-10:7	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
84	50443	mr-01:6	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
